trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,0,-41.389338845755475,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,0,-34.53127741345232,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,0,-4.805437033676684,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,0,-19.774606560663045,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",35,4,-76.63928974986342,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,0,-19.87726167730052,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,0,-35.512409791762856,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,13,12.48664589001121,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,11,-20.88074532703972,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,11,-82.406084343946,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,10,-52.39583265382257,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",25,14,-13.076619454576601,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,5,-5.005876022002664,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",25,0,-39.319574603215784,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,0,-26.220812280241375,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.418951549247639}",20,0,-28.5791371951072,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,0,-23.686072654122203,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,3,-32.43535489843302,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,-51.414507602309826,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,0,8.36968134260687,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,14,-60.9335528936223,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,10,11.490161861605431,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",30,23,12.128149006539866,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,9,-25.458404284546567,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,0,13.8284417937457,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,0,-51.09383594675967,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,0,-39.66934170176906,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,1,-53.50028420590945,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-80.78205546964838,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,15,4.194395763957314,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,0,23.620952949142062,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",30,12,-64.21736416763623,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",25,16,-4.870627023473907,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,0,-67.10321249121874,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,5,-5.419907799070275,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",25,0,15.230859225546167,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,13,14.194083880180413,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",25,13,-43.20560107428122,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",30,0,18.9535981572585,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,8,25.529032581957022,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,10,1.154762502060488,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",20,0,7.049164297470605,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,10,12.758845575201498,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,0,-1.716138175426058,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",25,12,-25.435968731880635,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,0,-58.472852416470985,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,0,-14.889137556345078,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",30,17,2.651358826640568,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",30,0,33.75622912208435,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",25,18,-27.730004878100857,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,0,20.763304109943615,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",25,2,-36.6955531478101,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,0,-22.15627748979104,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,0,-61.73789895531269,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",30,0,-46.86363770770713,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,13,10.339380813023372,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,10,-24.489594352970553,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,8,17.77783146432674,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,10,-30.88923925359755,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,12,18.23479534793084,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,14,9.442706444012819,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,7,-13.284168063369036,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.261845668580326}",25,0,-0.020769110358938248,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,0,28.164496408836897,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",25,15,12.343869516674985,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,3,17.296212227554534,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,13,19.51798968035271,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24907530463166816}",25,9,-46.02788491782478,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,0,10.531114222057804,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,9,19.07896579655091,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.24171401689703645}",30,0,-10.961429567860662,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.23930892224375455}",20,0,-53.0435281629165,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.23692775868212176}",30,17,-10.549950751437272,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23457028809379765}",30,0,49.74007334663138,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.23223627472975883}",30,18,23.371489936884572,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22992548518672384}",25,2,10.472462287043042,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22763768838381274}",25,7,-50.5055571149864,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
150,False,"{'a': 0.5, 'e': 0.22537265553943872}",25,0,-47.966989707816865,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,6,-1.1343181227418733,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2209099779593782}",30,12,9.13201076728587,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21871188695221475}",25,6,9.891069388169587,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,6,-27.098196650503898,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
